Date : 2020-01-25 10:45:56
Directory : c:\Users\djackson\Desktop\repos\archie_server
Total : 156 files,  38787 codes, 10250 comments, 4191 blanks, all 53228 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| sequelize-mssql\lib\errors                                                                                              |         25 |        373 |        215 |        130 |        718 |
| sequelize-mssql\lib\errors\connection                                                                                   |          7 |         70 |         21 |         28 |        119 |
| sequelize-mssql\lib\errors\database                                                                                     |          4 |         60 |         12 |         22 |         94 |
| sequelize-mssql\lib\errors\validation                                                                                   |          1 |         19 |          3 |          5 |         27 |
| sequelize-mssql\lib\utils                                                                                               |          4 |        126 |         28 |         26 |        180 |
| sequelize-mssql\types                                                                                                   |         27 |      2,426 |      4,737 |        891 |      8,054 |
| sequelize-mssql\types\lib                                                                                               |         26 |      2,407 |      4,737 |        889 |      8,033 |
| sequelize-mssql\types\lib\associations                                                                                  |          6 |        290 |        868 |         93 |      1,251 |
| sequelize-mssql\types\lib\utils                                                                                         |          2 |         33 |          7 |          7 |         47 |
| services                                                                                                                |          6 |        363 |         35 |         41 |        439 |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\djackson\Desktop\repos\archie_server\.eslintrc.js                                                              | JavaScript |         47 |          7 |          1 |         55 |
| c:\Users\djackson\Desktop\repos\archie_server\README.md                                                                 | Markdown   |         15 |          0 |          3 |         18 |
| c:\Users\djackson\Desktop\repos\archie_server\config\cors.js                                                            | JavaScript |         13 |          1 |          2 |         16 |
| c:\Users\djackson\Desktop\repos\archie_server\config\file.config.js                                                     | JavaScript |          7 |          0 |          1 |          8 |
| c:\Users\djackson\Desktop\repos\archie_server\config\index.js                                                           | JavaScript |          9 |          0 |          1 |         10 |
| c:\Users\djackson\Desktop\repos\archie_server\config\mail.js                                                            | JavaScript |         25 |          1 |          4 |         30 |
| c:\Users\djackson\Desktop\repos\archie_server\datasources\i360API.js                                                    | JavaScript |        189 |         11 |         33 |        233 |
| c:\Users\djackson\Desktop\repos\archie_server\express.js                                                                | JavaScript |         86 |          8 |         22 |        116 |
| c:\Users\djackson\Desktop\repos\archie_server\models\file.js                                                            | JavaScript |         18 |          0 |          3 |         21 |
